Source,Address,Auction Date,Jurisdiction/County,Status
"TMMP","89 Redmon Lane, Front Royal, VA 22630","03/13/2026 12:00 PM","County of Warren","Active"
"TMMP","114 Braxton Way, Kilmarnock, VA 22482","03/13/2026 12:00 PM","County of Lancaster","Active"
"TMMP","885 Vir Mar Beach Rd., Heathsville, VA 22473","03/13/2026 09:00 AM","County of Northumberland","Active"
"TMMP","2808 Chickahominy Rd, Toano, VA 23168","03/12/2026 02:45 PM","County of James City","Active"
"TMMP","1419 Syracuse NW Ave, Roanoke, VA 24017","03/12/2026 11:45 AM","City of Roanoke","Active"
"TMMP","301 Virginia Street, Unit 703, Richmond, VA 23219","03/12/2026 09:00 AM","City of Richmond","Active"
"TMMP","743 Rosebud Run, Aylett, VA 23009","03/12/2026 08:00 AM","County of King William","Active"
"TMMP","1083 Davmunds Trl., Sutherlin, VA 24594","03/11/2026 10:00 AM","County of Halifax","Active"
"TMMP","124 Sorrel Creek Lane, Gate City, VA 24251","03/11/2026 10:00 AM","County of Scott","Active"
"TMMP","1036 Blue Ridge View Circle, Forest , VA 24551","03/11/2026 09:00 AM","County of Bedford","Active"
"TMMP","1828 Hoover Avenue, Chesapeake, VA 23324","03/10/2026 12:15 PM","City of Chesapeake","Active"
"TMMP","140 Haviland Road, Chesapeake, VA 23320","03/10/2026 12:15 PM","City of Chesapeake","Active"
"TMMP","9 Baywood Lane, Portsmouth, VA 23701","03/10/2026 11:00 AM","City of Portsmouth","Active"
"TMMP","1417 Dorene Ct, Hampton, VA 23663","03/10/2026 08:45 AM","City of Hampton","Active"
"TMMP","528 Chestnut Ave, Colonial Heights, VA 23834","03/09/2026 09:30 AM","City of Colonial Heights","Active"
"TMMP","41923 Beryl Ter, Aldie, VA 20105","03/09/2026 09:00 AM","County of Loudoun","Active"
"TMMP","1090 Chestnut Dr., Christiansburg, VA 24073","03/06/2026 03:00 PM","County of Montgomery","Active"
"TMMP","700 Canoe Street, Chesapeake, VA 23323","03/04/2026 12:00 PM","City of Chesapeake","Active"
"TMMP","1203 Seaboard Ave., Chesapeake, VA 23324","03/04/2026 12:00 PM","City of Chesapeake","Active"
"TMMP","14225 Laketree Drive, Chester, VA 23831","03/04/2026 10:30 AM","County of Chesterfield","Active"
"Rosenberg","15000 Grassy Knoll Court","05-08-2026","Prince William","Active"
"Rosenberg","4621 Heather Drive Unit 211","04-07-2026","Roanoke City","Active"
"Rosenberg","125 Pennwood Drive","04-10-2026","Hampton","Active"
"Rosenberg","4909 Klamath Road","04-07-2026","City of Virginia Beach","Active"
"Rosenberg","340 Garrison Place","04-07-2026","City of Virginia Beach","Active"
"Rosenberg","1608 Ohio Street","04-07-2026","City of Chesapeake","Active"
"Rosenberg","4437 Miles Avenue","04-09-2026","Suffolk","Active"
"Rosenberg","1157 Pond Cypress Drive","04-07-2026","City of Virginia Beach","Active"
"Rosenberg","1003 Rollins Circle","04-03-2026","Hampton","Active"
"Rosenberg","540 Margaret Drive","03-31-2026","City of Chesapeake","Active"
"Rosenberg","3321 Trexler Avenue","05-05-2026","Portsmouth","Active"
"Rosenberg","20898 Gardengate Circle","05-05-2026","Loudoun","Active"
"Rosenberg","1809 Giles Bridge Road","05-05-2026","Powhatan","Active"
"Rosenberg","929 Logan Street","05-05-2026","Salem","Active"
"Rosenberg","21214 Orange Hill Avenue","04-30-2026","Chesterfield","Active"
"Rosenberg","3980 Horse Run Glen a/r/t/a 3980 Horserun Creek","04-24-2026","Newport News","Active"
"Rosenberg","4913 Lantern Street","04-30-2026","Roanoke","Active"
"Rosenberg","3302 Waverly Boulevard","04-06-2026","Henrico","Active"
"Rosenberg","458 Keith Avenue","03-31-2026","Lancaster","Active"
"Rosenberg","24219 Craigs Creek Road","03-31-2026","Craig","Cancelled"
"Rosenberg","104 Stowe Drive","04-20-2026","Suffolk","Cancelled"
"Rosenberg","4600 Desert Road","04-28-2026","Suffolk","Active"
"Rosenberg","2912 Talleywood Lane","05-07-2026","Chesterfield","Active"
"Rosenberg","14162 Cuddy Loop Unit: 302","04-03-2026","Prince William","Active"
"Rosenberg","43944 Riverpoint Drive","04-20-2026","Loudoun","Active"
"Rosenberg","3604 Autumn Glen Lane","04-17-2026","Henrico","Active"
"Rosenberg","13505 Avonmore Drive","04-10-2026","Fairfax","Cancelled"
"Rosenberg","4707 Care Drive","04-17-2026","Fairfax","Active"
"Rosenberg","7413 Stinson Road","04-10-2026","Fairfax","Active"
"Rosenberg","713 Ross Avenue","04-23-2026","Warren","Cancelled"
"Rosenberg","101 Weeping Willow Drive","04-02-2026","Washington","Active"
"Rosenberg","1830 Sherwood Road","04-09-2026","Petersburg","Active"
"Rosenberg","1948 Lancing Crest Lane","05-05-2026","City of Chesapeake","Active"
"Rosenberg","5611 Birchleaf Park Court","04-17-2026","Fairfax","Active"
"Rosenberg","2084 Nansemond Parkway","04-20-2026","Suffolk","Active"
"Rosenberg","182 Clarks Road","02-24-2026","King And Queen","Active"
"Rosenberg","5708 Barberry Lane","03-24-2026","Portsmouth","Active"
"Rosenberg","5340 Holmes Run Parkway Unit 214","02-23-2026","Alexandria","Cancelled"
"Rosenberg","1513 Abbott Street NW","03-25-2026","Roanoke City","Active"
"Rosenberg","5208 Hickory Road","04-02-2026","Chesterfield","Active"
"Rosenberg","14535 Skipton Court","03-20-2026","Fairfax","Active"
"Rosenberg","9571 13th Bay Street","03-03-2026","Norfolk City","Cancelled"
"Rosenberg","8622 Rawley Pike","03-13-2026","Rockingham","Active"
"Rosenberg","10 Great Lakes Drive","03-06-2026","Hampton","Cancelled"
"Rosenberg","6989 Manahoac Place","04-17-2026","Prince William","Active"
"Rosenberg","29074 Nelsonia Road","03-27-2026","Accomack","Cancelled"
"Rosenberg","564 Sherwood Avenue","03-18-2026","Waynesboro","Active"
"Rosenberg","7713 Halprin Drive","03-10-2026","Norfolk City","Cancelled"
"Rosenberg","909 Morningside Drive Northeast","03-12-2026","Washington","Active"
"Rosenberg","11 Fairway Drive","03-17-2026","Portsmouth","Active"
"Rosenberg","892 Barrens Village Lane","05-05-2026","Roanoke","Active"
"Rosenberg","5327 Satterfield Drive","03-06-2026","Prince William","Cancelled"
"Rosenberg","2809 Augusta Circle","04-07-2026","City of Virginia Beach","Active"
"Rosenberg","328 West Sunrise Road","03-24-2026","Pittsylvania","Cancelled"
"Rosenberg","920 Oxford Drive","03-10-2026","City of Virginia Beach","Cancelled"
"Rosenberg","5901 Shirebrook Drive","02-23-2026","Henrico","Cancelled"
"Rosenberg","450 Opequon Woods Circle","03-12-2026","Frederick","Cancelled"
"Rosenberg","13642 Laketree Drive","03-26-2026","Chesterfield","Active"
"Rosenberg","14742 Barksdale Street","03-27-2026","Prince William","Cancelled"
"Rosenberg","4769 Marlborough Drive","03-17-2026","City of Virginia Beach","Active"
"Rosenberg","8445 Truevine Road","04-30-2026","Franklin","Active"
"Rosenberg","249 West Freemason Street Apt 200","03-10-2026","Norfolk City","Active"
"Rosenberg","1796 River Rock Arch","04-21-2026","City of Virginia Beach","Active"
"Rosenberg","10001 South General Boulevard","03-12-2026","Chesterfield","Active"
"Rosenberg","5549 Park Road","03-17-2026","Albemarle","Active"
"Rosenberg","415 West 26th Street","04-28-2026","Norfolk City","Active"
"Rosenberg","126 North Garfield Road","03-30-2026","Loudoun","Active"
"Rosenberg","5008 Shortgrass Lane","03-13-2026","Prince William","Active"
"Rosenberg","1328 Green Cedar Lane","03-10-2026","City of Virginia Beach","Cancelled"
"Rosenberg","10876 Caraway Circle","02-27-2026","Prince William","Cancelled"
"Rosenberg","2712 Cicero Parkway","04-02-2026","Chesterfield","Active"
"Rosenberg","967 Jeb Stuart Highway","03-11-2026","Patrick","Cancelled"
"Rosenberg","3813 4H Club Road","04-20-2026","James City","Active"
"Rosenberg","3713 Woodmere Drive","03-17-2026","Portsmouth","Active"
"Rosenberg","221 East Prospect Street","04-02-2026","Warren","Cancelled"
"Rosenberg","110 Karakul Court","03-12-2026","Frederick","Cancelled"
"Rosenberg","132 Kirkley Circle","04-28-2026","Campbell","Active"
"Rosenberg","3 Mountain Ashe Place","03-13-2026","Hampton","Active"
"Rosenberg","5805 Up A Way Drive","03-10-2026","Spotsylvania","Cancelled"
"Rosenberg","2738 Console Avenue","03-17-2026","Norfolk City","Active"
"Rosenberg","6407 Abingdon Place","03-26-2026","Fauquier","Active"
"Rosenberg","2159 Glenmore Road","04-29-2026","Buckingham","Active"
"Rosenberg","8099 Lacy Drive Apt: 203","04-10-2026","Prince William","Active"
"Rosenberg","184 Church Street","05-01-2026","Surry","Active"
"Rosenberg","4224 North Kinsley Avenue","04-27-2026","Richmond City","Active"
"Rosenberg","812 South Lake Circle","03-10-2026","City of Chesapeake","Active"
"Rosenberg","5623 Cavalier Drive","03-31-2026","Roanoke","Active"
"Rosenberg","23437 Saxis Road","05-08-2026","Accomack","Active"
"Rosenberg","768 Ridgemont Drive","04-28-2026","Louisa","Active"
"Rosenberg","481 Beacon Hill Circle","03-31-2026","Norfolk City","Active"
"Rosenberg","370 Sleeping Hills Farm Road","03-03-2026","Henry","Active"
"Rosenberg","1353 Boxwood Farm Road","04-28-2026","Amherst","Active"
"Rosenberg","10026 Fair Woods Drive fka 10026 Mosby Woods Drive Unit: 229","03-13-2026","Fairfax","Active"
"Rosenberg","813 Hughes Street","03-03-2026","Danville","Active"
"Rosenberg","25010 Floyd Avenue","03-05-2026","Dinwiddie","Active"
"Rosenberg","4101 Vauxhall Road","03-26-2026","Chesterfield","Active"
"Rosenberg","5301 Middle Road","04-17-2026","Prince George","Active"
"Rosenberg","205 Kalmar Drive","03-10-2026","City of Chesapeake","Active"
"Rosenberg","2901 Pheasant Way","03-31-2026","City of Chesapeake","Cancelled"
"Rosenberg","856 Chestnut Street","04-07-2026","Roanoke","Active"
"Rosenberg","8460 Reedy Creek Road","03-12-2026","Washington","Active"
"Rosenberg","3716 and 3720 Ventnor Road SE","03-13-2026","Roanoke City","Active"
"Rosenberg","22100 Lake Jordan Landing","03-05-2026","Dinwiddie","Cancelled"
"Rosenberg","3258 Skipper Drive","03-24-2026","City of Virginia Beach","Active"
"Rosenberg","1060 Ferrett Drive","04-14-2026","Bedford","Active"
"Rosenberg","7001 Kodiak Court","04-10-2026","Prince William","Active"
"Rosenberg","123 S Main St.","02-25-2026","Cumberland","Active"
"AlexCooper","3034 Virginia Avenue, Baltimore, 21215","2026-03-05T15:30:00Z","","active"
"Glasser","412 Circle Creek RoadPenhook, VA 24137","3/4/2026","County of Franklin","Active"
"Glasser","240 London Ridge RoadBoones Mill, VA 24065","3/4/2026","County of Franklin","Active"
"Glasser","2629 Chancer DriveRichmond, VA 23233","3/5/2026","County of Henrico","Active"
"Glasser","8466 Quincy StreetNorfolk, VA 23503","3/10/2026","City of Norfolk","Active"
"Glasser","941 Bridge AvenueWaynesboro, VA 22980","3/11/2026","City of Waynesboro","Active"
"Glasser","7522 Stubbs Bridge RoadSpotsylvania, VA 22551","3/11/2026","County of Spotsylvania","Active"
"Glasser","9520 Pine Shadow DriveRichmond a/k/a Henrico, VA 23238","3/12/2026","County of Henrico","Active"
"Glasser","14757 Beamertown RoadPurcellville, VA 20132","3/16/2026","County of Loudoun","Active"
"Glasser","2307 Golden RoadRichmond, VA 23230","3/16/2026","County of Henrico","Active"
"Glasser","11230 Guilford RoadNorth Chesterfield, VA 23235","3/19/2026","County of Chesterfield","Active"
"Glasser","912 Hartford LaneNorth Chesterfield, VA 23236","3/19/2026","County of Chesterfield","Active"
"Glasser","24941 Ferndale RoadNorth Dinwiddie, VA 23803","3/23/2026","County of Dinwiddie","Active"
"Glasser","905 Farnley CourtRichmond, VA 23223","3/23/2026","County of Henrico","Active"
"Glasser","658 Hollomon DriveHampton, VA 23666","3/24/2026","City of Hampton","Active"
"Glasser","5842 Riverside DriveWoodbridge, VA 22193","3/24/2026","County of Prince William","Active"
"Glasser","4070 Hog Wallow RoadNathalie, VA 24577","3/25/2026","County of Halifax","Active"
