Source,Address,Auction Date,Jurisdiction/County,Status,Estimated Value,Owner Name,Owner Type,Beds,Baths,SqFt,Phone 1,Phone 1 Type,Phone 2,Phone 2 Type
Rosenberg,4101 Vauxhall Road,03-26-2026,Chesterfield,Active,,,,,,,,,,
Rosenberg,13642 Laketree Drive,03-26-2026,Chesterfield,Active,,,,,,,,,,
Rosenberg,2901 Pheasant Way,03-31-2026,City of Chesapeake,Cancelled,,,,,,,,,,
Rosenberg,2712 Cicero Parkway,04-02-2026,Chesterfield,Active,,,,,,,,,,
Rosenberg,481 Beacon Hill Circle,03-31-2026,Norfolk City,Active,,,,,,,,,,
Rosenberg,2809 Augusta Circle,04-07-2026,City of Virginia Beach,Active,,,,,,,,,,
Rosenberg,5208 Hickory Road,04-02-2026,Chesterfield,Active,,,,,,,,,,
Rosenberg,3302 Waverly Boulevard,04-06-2026,Henrico,Active,,,,,,,,,,
Rosenberg,3713 Woodmere Drive,03-17-2026,Portsmouth,Active,,,,,,,,,,
Rosenberg,3604 Autumn Glen Lane,04-17-2026,Henrico,Cancelled,,,,,,,,,,
Rosenberg,104 Stowe Drive,04-20-2026,Suffolk,Cancelled,,,,,,,,,,
Rosenberg,3813 4H Club Road,04-20-2026,James City,Active,,,,,,,,,,
Rosenberg,3980 Horse Run Glen a/r/t/a 3980 Horserun Creek,04-24-2026,Newport News,Active,,,,,,,,,,
Rosenberg,2084 Nansemond Parkway,04-20-2026,Suffolk,Active,,,,,,,,,,
Rosenberg,1830 Sherwood Road,04-09-2026,Petersburg,Active,,,,,,,,,,
Rosenberg,4600 Desert Road,04-28-2026,Suffolk,Active,,,,,,,,,,
Rosenberg,4224 North Kinsley Avenue,04-27-2026,Richmond City,Cancelled,,,,,,,,,,
Rosenberg,1948 Lancing Crest Lane,05-05-2026,City of Chesapeake,Active,,,,,,,,,,
Rosenberg,21214 Orange Hill Avenue,04-30-2026,Chesterfield,Active,,,,,,,,,,
Rosenberg,540 Margaret Drive,03-31-2026,City of Chesapeake,Active,,,,,,,,,,
Rosenberg,415 West 26th Street,04-28-2026,Norfolk City,Active,,,,,,,,,,
Rosenberg,1809 Giles Bridge Road,05-05-2026,Powhatan,Active,,,,,,,,,,
Rosenberg,340 Garrison Place,04-07-2026,City of Virginia Beach,Active,,,,,,,,,,
Rosenberg,2912 Talleywood Lane,05-07-2026,Chesterfield,Active,,,,,,,,,,
Rosenberg,3321 Trexler Avenue,05-05-2026,Portsmouth,Active,,,,,,,,,,
Rosenberg,1003 Rollins Circle,04-03-2026,Hampton,Active,,,,,,,,,,
Rosenberg,1157 Pond Cypress Drive,04-07-2026,City of Virginia Beach,Active,,,,,,,,,,
Rosenberg,1608 Ohio Street,04-07-2026,City of Chesapeake,Active,,,,,,,,,,
Rosenberg,4909 Klamath Road,04-07-2026,City of Virginia Beach,Active,,,,,,,,,,
Rosenberg,4437 Miles Avenue,04-09-2026,Suffolk,Active,,,,,,,,,,
Rosenberg,103 Songbird Trail,04-06-2026,York County/Poquoson,Active,,,,,,,,,,
Rosenberg,109 Peyton Road,04-06-2026,James City,Active,,,,,,,,,,
Rosenberg,125 Pennwood Drive,04-10-2026,Hampton,Active,,,,,,,,,,
Rosenberg,843 15th Street,04-10-2026,Newport News,Active,,,,,,,,,,
Rosenberg,7514 Cold Harbor Road,04-07-2026,Hanover,Active,,,,,,,,,,
Rosenberg,5018 Olgers Road,04-03-2026,Dinwiddie,Active,,,,,,,,,,
Rosenberg,4721 Bart Street,05-12-2026,Portsmouth,Active,,,,,,,,,,
AlexCooper,"3420 Silverton Lane, Chesapeake Beach, 20732",2026-03-10T18:07:00Z,,cancelled,,,,,,,,,,
AlexCooper,"939 Cayots Corner Road, Chesapeake City, 21915",2026-03-12T18:45:00Z,,active,,,,,,,,,,
Glasser,"8466 Quincy StreetNorfolk, VA 23503",3/10/2026,City of Norfolk,Active,,,,,,,,,,
Glasser,"2307 Golden RoadRichmond, VA 23230",3/16/2026,County of Henrico,Active,,,,,,,,,,
Glasser,"11230 Guilford RoadNorth Chesterfield, VA 23235",3/19/2026,County of Chesterfield,Active,,,,,,,,,,
Glasser,"912 Hartford LaneNorth Chesterfield, VA 23236",3/19/2026,County of Chesterfield,Active,,,,,,,,,,
Glasser,"24941 Ferndale RoadNorth Dinwiddie, VA 23803",3/23/2026,County of Dinwiddie,Active,,,,,,,,,,
Glasser,"905 Farnley CourtRichmond, VA 23223",3/23/2026,County of Henrico,Active,,,,,,,,,,
Glasser,"658 Hollomon DriveHampton, VA 23666",3/24/2026,City of Hampton,Active,,,,,,,,,,
Glasser,"231 West 32nd StreetNorfolk, VA 23504",3/31/2026,City of Norfolk,Active,,,,,,,,,,
VAPilot,"3220 NORTHGATE DRIVE VIRGINIA BEACH, VA 23452",4/14/2026 at 3:00 PM,,Active,,,,,,,,,,
VAPilot,"1518 County Street Portsmouth, VA 23704","April 15, 2026 at 11:15  AM",,Active,,,,,,,,,,
VAPilot,"165 S PLAZA TRL VIRGINIA BEACH, VA 23452","April 14, 2026 at 12:15PM",,Active,,,,,,,,,,
VAPilot,"3125 NIAGARA WAY VIRGINIA BEACH, VA 23456","April 14, 2026 at 12:15 PM",,Active,,,,,,,,,,
VAPilot,"1211 Haig Cir Virginia Beach, VA 23453","April 14, 2026 at 01:00  PM",,Active,,,,,,,,,,
VAPilot,"512 Mulligan Dr Virginia Beach, VA 23462","April 14, 2026 at 03:00  PM",,Active,,,,,,,,,,
VAPilot,"3000 William Clarke Court, Chesapeake, VA 23324 (Parcel ID: 1302001000010)",04/08/2026 at 12:45 PM,,Active,,,,,,,,,,
VAPilot,"In execution of a certain Deed of Trust dated September 11, 2007, in the original principal amount of $28,000.00 recorded in the Clerk's Office, Circuit Court for Norfolk City, Virginia as Instrument No. 070042844. The undersigned Substitute Trustee will offer for sale at public auction in the front of the Circuit Court building for the City of Norfolk, 150 St. Paul's Blvd., Norfolk, Virginia, on April 7, 2026, at 10:00 AM, the property described in said Deed of Trust, located at the above address, and more particularly described as follows: ALL THAT CERTAIN LOT, PIECE OR PARCEL OF LAND WITH THE BUILDINGS AND IMPROVEMENTS THEREON, SITUATE, LYING AND BEING IN THE CITY OF NORFOLK, VIRGINIA, BEING KNOWN, NUMBERED AND DESIGNATED AS LOT NUMBER 8, IN BLOCK D, AS SHOWN ON THAT CERTAIN PLAT ENTITLED, ""SUBDIVISION OF 'POPLAR HALLS,' SECTION ONE, KEMPSVILLE MAGISTERIAL DISTRICT, PRINCESS ANNE CO., VA,"" WHICH SAID PLAT IS DULY RECORDED IN THE CLERK'S OFFICE OF THE CIRCUIT COURT OF THE CITY OF VIRGINA BEACH, VIRGINIA, IN MAP BOOK 41, PAGE 60. TERMS OF SALE: ALL CASH. A bidder's deposit of ten percent (10%) of the sale price or ten percent (10%) of the original principal balance of the subject Deed of Trust, whichever is lower, in the form of cash or certified funds payable to the Substitute Trustee must be present at the time of the sale. The balance of the purchase price will be due within fifteen (15) days of sale, otherwise Purchaser's deposit may be forfeited to Trustee. Time is of the essence. Substitute Trustee has identified an unreleased security instrument which may be superior to the subject Deed of Trust. Substitute Trustee disclaims any implication that the Property will be sold free and clear of all liens. If the sale is set aside for any reason, the Purchaser at the sale shall be entitled to a return of the deposit paid. The Purchaser may, if provided by the terms of the Trustee's Memorandum of Foreclosure Sale, be entitled to a $50 cancellation fee from the Substitute Trustee, but shall have no further recourse against the Mortgagor, the Mortgagee or the Mortgagee's attorney. A form copy of the Trustee's memorandum of foreclosure sale and contract to purchase real property is available for viewing at www.bwwsales.com. Additional terms, if any, to be announced at the sale and the Purchaser may be given the option to execute the contract of sale electronically. This is a communication from a debt collector and any information obtained will be used for that purpose. The sale is subject to seller confirmation. Substitute Trustee: Equity Trustees, LLC, 8100 Three Chopt Road, Suite 240, Richmond, VA 23229. If you have any questions or concerns, please contact the Virginia Pre-Sale Department of counsel for Equity Trustees, LLC at 301-961-6555, website: www.bwwsales.com. VA-380520-1. 7923924 03/02, 03/09/26",,,Active,,,,,,,,,,
VAPilot,"In execution of a certain Deed of Trust dated May 21, 2024, in the original principal amount of $406,500.00 recorded in the Clerk's Office, Circuit Court for Norfolk City, Virginia as Instrument No. 240020246. The undersigned Substitute Trustee will offer for sale at public auction in the front of the Circuit Court building for the City of Norfolk, 150 St. Paul's Blvd., Norfolk, Virginia, on April 7, 2026, at 10:00 AM, the property described in said Deed of Trust, located at the above address, and more particularly described as follows: THE LAND HEREINAFTER REFERRED TO IS SITUATED IN THE CITY OF NORFOLK, COUNTY OF NORFOLK, STATE OF VA, AND IS DESCRIBED AS FOLLOWS: LOT NO. TWELVE (12) IN BLOCK LETTERED E, AS SHOWN ON THAT CERTAIN PLAT ENTITLED SUBDIVISION OF BROMLEY, INCORP., WHICH SAID PLAT IS DULY RECORDED IN THE CLERK'S OFFICE OF THE CIRCUIT COURT OF THE CITY OF VIRGINIA BEACH, VIRGINIA, IN MAP BOOK 38, AT PAGE 40. TERMS OF SALE: ALL CASH. A bidder's deposit of ten percent (10%) of the sale price or ten percent (10%) of the original principal balance of the subject Deed of Trust, whichever is lower, in the form of cash or certified funds payable to the Substitute Trustee must be present at the time of the sale. The balance of the purchase price will be due within fifteen (15) days of sale, otherwise Purchaser's deposit may be forfeited to Trustee. Time is of the essence. If the sale is set aside for any reason, the Purchaser at the sale shall be entitled to a return of the deposit paid. The Purchaser may, if provided by the terms of the Trustee's Memorandum of Foreclosure Sale, be entitled to a $50 cancellation fee from the Substitute Trustee, but shall have no further recourse against the Mortgagor, the Mortgagee or the Mortgagee's attorney. A form copy of the Trustee's memorandum of foreclosure sale and contract to purchase real property is available for viewing at www.bwwsales.com. Additional terms, if any, to be announced at the sale and the Purchaser may be given the option to execute the contract of sale electronically. This is a communication from a debt collector and any information obtained will be used for that purpose. The sale is subject to seller confirmation. Substitute Trustee: Equity Trustees, LLC, 8100 Three Chopt Road, Suite 240, Richmond, VA 23229. If you have any questions or concerns, please contact the Virginia Pre-Sale Department of counsel for Equity Trustees, LLC at 301-961-6555, website: www.bwwsales.com. VA-381013-1. 7925064 03/02, 03/09/26",,,Active,,,,,,,,,,
VAPilot,"231 West 32nd Street, Norfolk, Virginia 23504",,,Active,,,,,,,,,,
VAPilot,"In execution of a certain Deed of Trust dated February 22, 2013, in the original principal amount of $240,000.00 recorded in the Clerk's Office, Circuit Court for Chesapeake City, Virginia, in Book 08989 at Page 529 as Instrument No. 130007030. The undersigned Substitute Trustee will offer for sale at public auction in the front of the Circuit Court building for the City of Chesapeake, 307 Albemarle Drive, Chesapeake, VA, on April 7, 2026, at 2:45 PM, the property described in said Deed of Trust, located at the above address, and more particularly described as follows: ALL THAT CERTAIN LOT, PIECE OF PARCEL OF LAND, WITH ALL IMPROVEMENTS SITUATE THEREON, LYING, SITUATE AND BEING IN THE PLEASANT GROVE BOROUGH OF THE CITY OF CHESAPEAKE, VIRGINIA, AND BEING KNOWN, NUMBERED AND DESIGNATED AS LOT 66, AS SHOWN ON THAT CERTAIN PLAT ENTITLED ""SUBDIVISION OF COVENTRY MEADOWS, SECTION TWO, PLEASANT GROVE BOROUGH, CHESAPEAKE, VIRGINIA"", MADE BY HASSELL & FOLKES, P.C., ENGINEERS, SURVEYORS AND PLANNERS, DATED SEPTEMBER 15, 1993 AND RECORDED IN THE CLERK'S OFFICE OF THE CIRCUIT COURT OF THE CITY OF CHESAPEAKE, VIRGINIA IN MAP BOOK 108, AT PAGES 69, 69A AND 69B, AND REFERENCE TO WHICH IS HEREBY MADE FOR A MORE PARTICULAR DESCRIPTION OF THE PROPERTY. TERMS OF SALE: ALL CASH. A bidder's deposit of ten percent (10%) of the sale price or ten percent (10%) of the original principal balance of the subject Deed of Trust, whichever is lower, in the form of cash or certified funds payable to the Substitute Trustee must be present at the time of the sale. The balance of the purchase price will be due within fifteen (15) days of sale, otherwise Purchaser's deposit may be forfeited to Trustee. Time is of the essence. If the sale is set aside for any reason, the Purchaser at the sale shall be entitled to a return of the deposit paid. The Purchaser may, if provided by the terms of the Trustee's Memorandum of Foreclosure Sale, be entitled to a $50 cancellation fee from the Substitute Trustee, but shall have no further recourse against the Mortgagor, the Mortgagee or the Mortgagee's attorney. A form copy of the Trustee's memorandum of foreclosure sale and contract to purchase real property is available for viewing at www.bwwsales.com. Additional terms, if any, to be announced at the sale and the Purchaser may be given the option to execute the contract of sale electronically. This is a communication from a debt collector and any information obtained will be used for that purpose. The sale is subject to seller confirmation. Substitute Trustee: Equity Trustees, LLC, 8100 Three Chopt Road, Suite 240, Richmond, VA 23229. If you have any questions or concerns, please contact the Virginia Pre-Sale Department of counsel for Equity Trustees, LLC at 301-961-6555, website: www.bwwsales.com. VA-359188-4. 7925882 03/02, 03/09/26",,,Active,,,,,,,,,,
VAPilot,"16 REX AVENUE, PORTSMOUTH, VIRGINIA 23702",,,Active,,,,,,,,,,
VAPilot,"305 Sandhurst Court, Chesapeake, Virginia 23323",,,Active,,,,,,,,,,
VAPilot,"4833 Tunlaw Court, Virginia Beach, Virginia 23462",,,Active,,,,,,,,,,
VAPilot,"602 Walker Avenue Norfolk, VA 23523",,,Active,,,,,,,,,,
VAPilot,"TRUSTEE SALE 606 Quail Ave, Chesapeake, VA 23324","April 1, 2026 at 12:45 PM",,Active,,,,,,,,,,
VAPilot,"TRUSTEE SALE 5772 Don Dr, Norfolk, VA 23518","April 8, 2026 at 10:00 AM",,Active,,,,,,,,,,
VAPilot,"5218 COBBLE HILL ROAD PORTSMOUTH, VA 23703","April 07, 2026 at 11:15AM",,Active,,,,,,,,,,
VAPilot,"2001 STARBOARD COURT VIRGINIA BEACH, VA 23454","April 07, 2026 at 12:15 PM",,Active,,,,,,,,,,
VAPilot,"3781 Strathmoor Circle Virginia Beach, VA 23452","April 7, 2026 at 01:00  PM",,Active,,,,,,,,,,
VAPilot,"111 ALICE STREET, CHESAPEAKE, VA 23323","May 5, 2026 at 1:15 PM",,Active,,,,,,,,,,
VAPilot,"639 Partridge Avenue Chesapeake, Virginia 23324",,,Active,,,,,,,,,,
VAPilot,"1016 OUTLANDS WAY, VIRGINIA BEACH, VA 23456",5/26/2026 at 3:00 PM,,Active,,,,,,,,,,
VAPilot,"NOTICE OF SUBSTITUTE TRUSTEE SALE 4600 Desert Road, Suffolk, VA 23434","April 28, 2026 at 3:30 PM",,Active,,,,,,,,,,
VAPilot,"443 HILL MEADOW DRIVE VIRGINIA BEACH, VA 23454","May 05, 2026 at 12:15 PM",,Active,,,,,,,,,,
VAPilot,"102 CHAPEL HILL CT, SUFFOLK, VA 23434",5/26/2026 at 3:30 PM,,Active,,,,,,,,,,
VAPilot,"201 MARLBORO RD PORTSMOUTH, VA 23702","April 03, 2026 at 2:00PM",,Active,,,,,,,,,,
VAPilot,"4533 Miarfield Arc, Chesapeake, VA 23321 (Parcel ID: 0093003000930)",04/01/2026 at 12:00 PM,,Active,,,,,,,,,,
VAPilot,"4387 HIALEAH DR CT, VIRGINIA BEACH, VA 23464","April 28, 2026 at 1:00 PM",,Active,,,,,,,,,,
VAPilot,"2205 STAUNTON AVENUE, PORTSMOUTH, VA 23704","April 21, 2026 at 11:15 AM",,Active,,,,,,,,,,
VAPilot,"872 FREEMONT STREET, NORFOLK, VA 23504","April 28, 2026 at 10:30 AM",,Active,,,,,,,,,,
VAPilot,"6377 Colby Way, Virginia Beach, VA 23464","April 21, 2026 at 1:00PM",,Active,,,,,,,,,,
VAPilot,"3949 MIDDLEWOOD DRIVE, VIRGINIA BEACH, VIRGINIA 23456",,,Active,,,,,,,,,,
VAPilot,"416 Rose Garden Lane, Chesapeake, VA 23320","April 6, 2026 at 09:00 AM",,Active,,,,,,,,,,
VAPilot,"7454 Diven Street, Norfolk, Virginia 23505",,,Active,,,,,,,,,,
VAPilot,"2819 Meadow Wood Dr W, Chesapeake, VA 23321","April 6, 2026 at 09:00 AM",,Active,,,,,,,,,,
VAPilot,"1000 5th Street, Portsmouth, VA 23704","April 6, 2026 at 12:30 PM",,Active,,,,,,,,,,
VAPilot,"1937 English Avenue, Chesapeake, Virginia 23320",,,Active,,,,,,,,,,
VAPilot,"6408 Stoney Point South, Norfolk, Virginia 23502",,,Active,,,,,,,,,,
VAPilot,"3830 Headwind Lane, Portsmouth, Virginia 23703",,,Active,,,,,,,,,,
